,customerID,products
0,0,20
1,1,2
2,1,2
3,1,23
4,1,68
5,1,68
6,1,111
7,1,29
8,1,86
9,1,107
10,1,152
11,2,111
12,2,107
13,2,29
14,2,11
15,2,11
16,2,11
17,2,33
18,2,23
19,3,164
20,3,227
21,5,2
22,5,2
23,6,144
24,6,144
25,6,55
26,6,266
27,7,135
28,7,206
29,7,259
30,8,79
31,8,8
32,8,8
33,8,48
34,9,102
35,9,2
36,9,2
37,9,297
38,10,84
39,10,77
40,10,290
41,10,260
42,11,25
43,11,127
44,11,127
45,12,18
46,12,183
47,12,287
48,12,172
49,12,289
50,13,79
51,13,8
52,13,8
53,13,38
54,14,2
55,14,2
56,14,20
57,14,20
58,14,20
59,15,251
60,15,143
61,16,2
62,17,49
63,17,49
64,17,49
65,17,279
66,17,279
67,17,279
68,18,70
69,18,135
70,19,48
71,19,8
72,20,20
73,20,20
74,20,20
75,20,281
76,20,281
77,20,281
78,20,287
79,20,287
80,20,287
81,21,259
82,21,198
83,22,29
84,22,11
85,22,44
86,22,195
87,23,36
88,23,36
89,23,61
90,23,201
91,24,236
92,24,236
93,24,2
94,25,1
95,25,20
96,25,18
97,25,18
98,25,18
99,25,259
100,25,259
101,25,2
102,25,2
103,25,2
104,28,11
105,28,11
106,28,11
107,28,29
108,28,29
109,28,29
110,29,2
111,29,2
112,29,124
113,29,251
114,29,192
115,29,47
116,30,297
117,30,256
118,32,159
119,33,23
120,33,11
121,33,41
122,33,36
123,33,23
124,33,36
125,33,38
126,33,264
127,33,11
128,33,79
129,34,115
130,34,41
131,34,81
132,34,205
133,34,20
134,35,56
135,35,62
136,36,145
137,36,20
138,36,20
139,36,20
140,37,73
141,37,40
142,37,25
143,38,175
144,38,102
145,38,102
146,39,241
147,39,241
148,39,43
149,40,118
150,40,118
151,40,118
152,40,33
153,40,156
154,40,156
155,40,25
156,40,2
157,40,2
158,40,2
159,41,41
160,41,2
161,41,2
162,42,229
163,42,229
164,42,229
165,42,70
166,43,48
167,43,8
168,43,8
169,44,11
170,44,11
171,44,11
172,44,2
173,44,2
174,45,263
175,46,172
176,46,205
177,46,250
178,48,47
179,49,2
180,51,44
181,51,33
182,52,124
183,52,124
184,53,47
185,54,18
186,54,18
187,54,102
188,54,102
189,54,20
190,54,12
191,56,2
192,57,172
193,57,135
194,58,231
195,58,2
196,58,2
197,58,2
198,59,100
199,59,112
200,59,21
201,60,2
202,60,2
203,60,184
204,60,15
205,61,17
206,65,208
207,65,9
208,65,143
209,65,143
210,66,2
211,67,192
212,68,33
213,70,20
214,70,20
215,71,2
216,71,2
217,72,134
218,72,11
219,72,23
220,72,134
221,72,170
222,72,23
223,72,23
224,72,11
225,72,170
226,72,11
227,73,100
228,73,112
229,76,146
230,78,273
231,79,253
232,80,111
233,80,33
234,81,135
235,81,135
236,87,2
237,87,111
238,87,162
239,87,20
240,87,186
241,87,111
242,87,162
243,87,111
244,87,2
245,87,20
246,89,199
247,89,199
248,89,2
249,89,172
250,90,2
251,90,2
252,90,143
253,91,76
254,91,20
255,93,51
256,93,224
257,93,41
258,93,41
259,94,11
260,94,11
261,94,15
262,95,44
263,95,287
264,96,2
265,96,2
266,96,20
267,96,20
268,96,20
269,96,44
270,96,44
271,97,177
272,97,177
273,97,177
274,98,20
275,98,2
276,98,2
277,99,259
278,99,259
279,99,97
280,100,62
281,100,0
282,100,0
283,100,0
284,100,6
285,100,67
286,101,214
287,101,47
288,102,192
289,103,36
290,103,48
291,104,2
292,105,107
293,105,29
294,105,23
295,105,23
296,105,11
297,105,11
